Ep No.,Name,Type,Date
73,Broggy’s Bitter Tears of Victory! The Conclusion of Elbaf!,Manga Canon,2001-06-24
74,The Devilish Candle! Tears of Regret and Tears of Anger!,Manga Canon,2001-07-15
75,A Hex on Luffy! Colors Trap!,Manga Canon,2001-08-12
76,Time to Fight Back! Usopp's Quick Thinking and Fire Star!,Manga Canon,2001-08-19
77,Farewell Giant Island! Head for Alabasta!,Manga Canon,2001-08-19
78,Nami’s Sick? Beyond the Snow Falling on the Sea!,Manga Canon,2001-08-26
79,A Raid! The Tin Tyrant and Tin Plate Wapol!,Manga Canon,2001-09-02
80,An Island Without Doctors? Adventure in a Nameless Land!,Manga Canon,2001-09-09
81,Are You Happy? The Doctor Called Witch!,Manga Canon,2001-09-16
82,Dalton’s Resolve! Wapol’s Corps Lands on the Island!,Manga Canon,2001-10-07
83,The Island Where Snow Lives! Climb the Drum Rockies!,Manga Canon,2001-10-07
84,Blue-Nosed Reindeer! Chopper’s Secret!,Manga Canon,2001-10-21
85,An Outcast's Dream! Hiriluk the Quack!,Manga Canon,2001-10-28
86,Hiriluk’s Cherry Blossoms and the Will That Gets Carried On!,Manga Canon,2001-11-04
87,Fight Wapol's Crew! The Power of the Munch-Munch Fruit!,Manga Canon,2001-11-11
88,Zoan-Type Devil Fruit! Chopper’s Seven-Form Transformation!,Manga Canon,2001-11-18
89, When the Kingdom’s Rule Ends! The Flag of Faith Flies Forever!,Manga Canon,2001-11-25
90,Hiriluk's Cherry Blossoms! Miracle in the Drum Rockies!,Manga Canon,2001-12-02
91,Goodbye Drum Island! I’m Going Out to Sea!,Manga Canon,2001-12-09
92,Alabasta's Hero and a Ballerina on the Ship!,Manga Canon,2001-12-09
93,Off to the Desert Kingdom! The Rain-Summoning Powder and the Rebel Army!,Anime Canon,2001-12-16
94,The Heroes' Reunion! His Name Is Fire Fist Ace!,Manga Canon,2001-12-23
95,Ace and Luffy! Hot Emotions and Brotherly Bonds!,Manga Canon,2002-01-06
96,"Erumalu, the City of Green and the Kung Fu Dugongs!",Manga Canon,2002-01-13
97,Adventure in the Country of Sand! The Monsters That Live in the Scorching Land!,Manga Canon,2002-01-20
98,Enter the Desert Pirates! The Men Who Live Freely!,Filler,2002-01-27
99,"False Fortitude! Camu, Rebel Soldier at Heart!",Filler,2002-02-03
100,Rebel Warrior Koza! The Dream Vowed to Vivi!,Manga Canon,2002-02-10
101,Showdown in a Heat Haze! Ace vs. the Gallant Scorpion!,Mixed Canon/Filler,2002-02-17
102,"Ruins and Lost Ways! Vivi, Her Friends and the Country's Form!",Filler,2002-02-24
103,Spiders Café at 8 O’Clock! The Enemy Leaders Gather!,Manga Canon,2002-03-03
104,Luffy vs. Vivi! The Tearful Vow To Put Friends on the Line!,Manga Canon,2002-03-10
105,"The Battlefront of Alabasta! Rainbase, the City of Dreams!",Manga Canon,2002-03-17
106,The Trap of Certain Defeat! Storming Raindinners!,Manga Canon,2002-03-24
107,Operation Utopia Commences! The Swell of Rebellion Stirs!,Manga Canon,2002-04-14
108,The Terrifying Banana Gators and Mr. Prince!,Manga Canon,2002-04-21
109,The Key to a Great Comeback Escape! The Wax-Wax Ball!,Manga Canon,2002-04-28
110,Merciless Mortal Combat! Luffy vs. Crocodile!,Manga Canon,2002-05-05
111,Dash for a Miracle! Alabasta Animal Land!,Manga Canon,2002-05-12
112,Rebel Army vs. Royal Army! Showdown at Alubarna!,Manga Canon,2002-05-19
113,Alubarna Grieves! The Fierce Captain Karoo!,Manga Canon,2002-06-02
114,"Sworn on a Friend's Dream! The Battle of Molehill, Block 4!",Manga Canon,2002-06-09
115,Big Opening Day Today! The Copy-Copy Montage!,Manga Canon,2002-06-16
116,Transformed Into Nami! Bon Clay’s Rapid-Fire Ballet Kenpo!,Manga Canon,2002-06-23
117,Nami's Cyclone Advisory! Clima Takt Burst!,Manga Canon,2002-06-30
118, Secret Passed Down in the Royal Family! The Ancient Weapon Pluton!,Manga Canon,2002-07-14
119,Secret of Powerful Swordplay! Ability To Cut Steel and the Rhythm Things Have!,Manga Canon,2002-07-21
120,The Battle Is Over! Koza Raises the White Flag!,Manga Canon,2002-08-04
121, Where Vivi's Voice Gets Heard! The Hero Descends!,Manga Canon,2002-08-11
122,Sand Croc and Water Luffy! The Second Round of the Duel!,Manga Canon,2002-08-18
123,"That Looks Croc-ish! Luffy, Run to the Royal Tomb!",Manga Canon,2002-08-25
124,The Nightmare Draws Near! This Is the Sand-Sand Clan's Secret Base!,Manga Canon,2002-09-01
125,"Magnificent Wings! My Name Is Pell, Guardian Deity of the Country!",Manga Canon,2002-09-08
126,I Will Surpass You! Rain Falls in Alabasta!,Manga Canon,2002-09-15
127,A Farewell to Arms! Pirates and Different Ideas of Justice!,Manga Canon,2002-10-06
128,The Pirates’ Banquet and Operation Escape From Alabasta!,Manga Canon,2002-10-06
129,It All Started on That Day! Vivi Tells the Story of Her Adventure!,Manga Canon,2002-10-20
130,Scent of Danger! The Seventh Member Is Nico Robin!,Manga Canon,2002-10-27
131,The First Patient! The Untold Story of the Rumble Ball!,Filler,2002-11-03
132,Uprising of the Navigator! For the Unyielding Dream!,Filler,2002-11-10
133,"A Recipe Handed Down! Sanji, the Iron Man of Curry!",Filler,2002-11-17
134,I Will Make It Bloom! Usopp the Man and the Eight-Foot Shell!,Filler,2002-11-24
135," The Fabled Pirate Hunter! Zoro, the Wandering Swordsman!",Filler,2002-12-01
136,Zenny of the Island of Goats and the Pirate Ship in the Mountains!,Filler,2002-12-08
137,How's Tricks? The Designs of Zenny the Moneylender!,Filler,2002-12-15
