Ep No.,Name,Type,Date
327,"Sunny in a Pinch! Roar, Secret Superspeed Mecha!",Filler,2007-10-21
328,"The Dream Sinking in the New World! The Disillusioned Pirate, Puzzle!",Filler,2007-10-28
329,The Assassins Attack! The Great Battle on Ice Begins!,Filler,2007-11-04
330,The Straw Hat’s Hard Battles! A Pirate Soul Risking It All for the Flag!,Filler,2007-11-11
331,Hot Full Throttle! The Twin’s Magnetic Power Drawing Near!,Filler,2007-11-18
332,Mansion of Great Chaos! The Enraged Don and the Captured Crew!,Filler,2007-11-25
333,The Return of the Phoenix! The Dream of the Pirate Flag Sworn to a Friend!,Filler,2007-12-02
334,The Red Hot Decisive Battle! Luffy vs. the Scorching Don!,Filler,2007-12-09
335,Waiting in the New World! Farewell to the Brave Pirates!,Filler,2007-12-16
336,Chopperman to the Rescue! Protect the TV Station by the Shore!,Filler,2007-12-23
337,Plunging Into the Devil’s Sea! The Mysterious Skeleton Floating in the Fog!,Manga Canon,2008-01-06
338, The Joy of Seeing People! The Gentleman Skeleton's True Identity!,Manga Canon,2008-01-13
339,One Unnatural Phenomenon After the Next! Disembarking on Thriller Bark!,Manga Canon,2008-01-20
340,The Man Called a Genius! Hogback Makes His Appearance!,Manga Canon,2008-01-27
341,Nami's in a Major Pinch! The Zombie Mansion and the Invisible Man!,Manga Canon,2008-02-03
342,The Zombie's Secret! Hogback's Nightmarish Laboratory!,Manga Canon,2008-02-10
343,His Name Is Moria! The Great Shadow-Seizing Pirate's Trap!,Manga Canon,2008-02-17
344,Feast of the Zombie Song! The Night Raid's Bell Is the Sound of Darkness!,Manga Canon,2008-02-24
345,A Bunch of Animals? Perona's Wonder Garden!,Manga Canon,2008-03-02
346,The Vanishing Straw Hat Crew! A Mysterious Swordsman Appears!,Manga Canon,2008-03-09
347,Chivalry Remains! The Traitorous Zombie Protects Nami,Manga Canon,2008-03-16
348,Appearing From the Sky! That Man Is the Humming Swordsman!,Manga Canon,2008-03-23
349,Luffy’s Emergency Situation! The Ultimate Shadow’s Destination!,Manga Canon,2008-03-30
350,"The Warrior Known as the ""Devil!!"" The Moment of Oars' Revival",Manga Canon,2008-04-20
351,Awakening After 500 Years!! Oars Opens His Eyes!!,Manga Canon,2008-04-27
352,A Belief Worth Begging To Live For!! Brook Defends His Afro,Manga Canon,2008-05-04
353, A Man's Promise Never Dies!! To the Friend Waiting Under the Distant Sky,Manga Canon,2008-05-11
354,I Swear To Go See Him!! Brook and the Cape of Promise!,Mixed Canon/Filler,2008-05-18
355," Food, Nami and Shadows!! Luffy’s Enraged Counterattack!",Manga Canon,2008-05-25
356,Usopp’s the Strongest? Leave Anything Negative to Him!,Manga Canon,2008-06-01
357,The General Zombies Are Down in a Flash!! Oars Feels Like an Adventure!!,Manga Canon,2008-06-08
358,Blazing Knight Sanji!! Kick Down the Fake Wedding,Manga Canon,2008-06-15
359,A Clear-Clear History? Sanji's Stolen Dream,Manga Canon,2008-06-22
360,"Save Me, Hero!! My Enemy Is the Immortal Princess",Manga Canon,2008-06-29
361,"Perona Is Terrified!! Usopp and Untruthful Share the Same ""U""",Manga Canon,2008-07-06
362,Slashes Dancing on the Roof!! Zoro vs. Ryuma's Showdown,Manga Canon,2008-07-13
363,Chopper Is Furious!! Hogback's Evil Medical Practices,Manga Canon,2008-07-20
364,"Oars Roars! Come Out, Straw Hat Crew",Manga Canon,2008-08-03
365,Luffy Is the Enemy! The Ulitmate Zombie vs. the Straw Hat Crew,Manga Canon,2008-08-10
366,"You're Going Down, Absalom!! Nami's Lightning Attack of Friendship!!",Manga Canon,2008-08-17
367,Knock Him Down!! Special Attack: Straw Hat Docking?,Manga Canon,2008-08-24
368,"The Silent Assault!! The Mysterious Visitor, Tyrant Kuma",Manga Canon,2008-08-31
369,Oars + Moria! The Most Heinous Combination of Brains and Brawn,Manga Canon,2008-09-07
370, The Secret Plan to Turn the Tables! Nightmare Luffy Makes His Appearance,Manga Canon,2008-09-14
371,The Straw Hat Crew Gets Wiped Out! The Shadow-Shadow's Powers in Full Swing,Manga Canon,2008-09-21
372,The Incredible Battle Starts! Luffy vs. Luffy,Manga Canon,2008-09-28
373,The End of the Battle Is Nigh! Pound in the Finishing Move,Manga Canon,2008-10-05
374,Our Bodies Vanish! The Morning Sun Shines on the Nightmarish Island!,Manga Canon,2008-10-12
375,Not Out of Danger Yet! Orders To Annihilate the Straw Hat Crew,Manga Canon,2008-10-19
376,It Repels Everything! Kuma's Paw-Paw Power!,Manga Canon,2008-11-09
377, The Pain of My Crewmates Is My Pain! Zoro's Desperate Fight!,Manga Canon,2008-11-16
378,The Promise From a Distant Day! The Pirates' Song and a Small Whale!,Manga Canon,2008-11-23
379, Brook's Past! A Sad Farewell With His Cheerful Comrade!,Manga Canon,2008-11-30
380,Bink's Booze! The Song That Connects the Past With the Present!,Manga Canon,2008-12-07
381,"A New Crewmate! The Musician, Humming Brook!",Manga Canon,2008-12-14
382,"The Slow-Slow Menace! ""Silver Fox"" Foxy Returns!",Filler,2008-12-21
383,The Great Scramble for Treasure! Collapse! Spa Island!,Filler,2008-12-28
384,Brook's Great Struggle! Is the Path To Becoming a True Comrade Rigorous?,Filler,2009-01-11
385,Arriving at Halfway Through the Grand Line! The Red Line,Manga Canon,2009-01-18
386,Hatred of the Straw Hat Crew! Enter Iron Mask Duval,Manga Canon,2009-01-25
387,The Fated Reunion! Save the Imprisoned Fish-Man,Manga Canon,2009-02-01
388,Tragedy! The Truth of the Unmasked Duval,Manga Canon,2009-02-08
389,Explosion! The Sunny's Super Secret Weapon: Gaon Cannon,Manga Canon,2009-02-15
390,Landing to Get to Fish-Man Island! The Sabaody Archipelago,Manga Canon,2009-02-22
391,"Tyranny! The Rulers of Sabaody, the Celestial Dragons",Manga Canon,2009-03-01
392,New Rivals Gather! The 11 Supernovas,Manga Canon,2009-03-08
393,The Target Is Camie! The Looming Clutches of a Professional Kidnapper,Manga Canon,2015-06-15
394,Rescue Camie! The Archipelago’s Lingering Dark History,Manga Canon,2009-03-29
395,Time Limit! The Human Auction Begins,Manga Canon,2009-04-05
396,The Fist Explodes! Destroy the Auction,Manga Canon,2009-04-12
397,Major Panic! Desperate Struggle at the Auction House,Manga Canon,2009-04-19
398,Admiral Kizaru Takes Action! Sabaody Archipelago Thrown Into Chaos,Manga Canon,2009-04-26
399,Break Through the Siege! The Navy vs. the Three Captains,Manga Canon,2009-05-03
400,Roger and Rayleigh! The King of the Pirates and His Right Hand Man,Manga Canon,2009-05-10
401,No Escape!? Admiral Kizaru’s Light Speed Kick!!,Manga Canon,2009-05-17
402,"Overwhelming! The Navy’s Fighting Weapons, the Pacifistas",Manga Canon,2009-05-24
403,An Even Stronger Enemy Appears! The Battle Axe-Carrying Sentomaru,Manga Canon,2009-05-31
404,Admiral Kizaru's Fierce Assault! The Straw Hats Face Certain Death!,Manga Canon,2009-06-07
405,Eliminated Friends! The Final Day of the Straw Hat Crew,Manga Canon,2009-06-14
406,Feudal Era Side Story! Boss Luffy Appears Again,Filler,2009-06-21
407,Feudal Era Side Story! Defeat Thriller Company's Trap,Filler,2009-06-28
408,"Landing! The All-Female Island, Amazon Lily",Manga Canon,2009-07-05
409, Hurry Back to Your Friends! The Maiden Island Adventure,Manga Canon,2009-07-12
410,Everyone Falls in Love! Pirate Empress Hancock,Manga Canon,2009-07-19
411,The Secret Hidden on Their Backs! Luffy and the Snake Princess Meet,Manga Canon,2009-08-02
412,Heartless Judgment! Margaret Is Turned to Stone!!,Manga Canon,2009-08-09
413, A Difficult Fight for Luffy! The Snake Sisters' Haki Power!!,Manga Canon,2009-08-16
414,All-Out Special Power Battle!! Gum-Gum vs. Snake-Snake,Manga Canon,2009-08-23
415,Hancock's Confession! The Sisters' Abhorrent Past,Manga Canon,2009-08-30
416,Saving Ace! The Next Stop: The Great Prison!,Manga Canon,2009-09-06
417,Love Is a Hurricane! Hancock Madly in Love!,Manga Canon,2009-09-13
418,The Friends' Whereabouts! The Science of Weather and the Mechanical Island!,Anime Canon,2009-09-20
419,The Friends' Whereabouts! An Island of Giant Birds and a Pink Paradise!,Anime Canon,2009-09-27
420,The Friends' Whereabouts! Bridging the Islands and Vicious Vegetations!,Anime Canon,2009-10-04
421,The Friends' Whereabouts! A Negative Princess and the King of Demons!,Mixed Canon/Filler,2009-10-11
422,A Deadly Infiltration! The Underwater Prison Impel Down!,Manga Canon,2009-10-18
423,A Reunion in Hell?! The Man Who Ate the Chop-Chop Fruit!,Manga Canon,2009-10-25
424, Break Through the Crimson Hell! Buggy's Chaos-Inducing Plan!,Manga Canon,2009-11-01
425,The Strongest Man in the Prison! Poison Man Magellan Appears!,Manga Canon,2009-11-08
426, A Special Presentation Related to the Movie! A Gold Lion's Ambition on the Move!,Filler,2009-11-15
427,A Special Presentation Related to the Movie! Little East Blue in Danger!,Filler,2009-11-22
428,A Special Presentation Related to the Movie! The Fierce Onslaught of the Amigo Pirates!,Filler,2009-11-29
429,A Special Presentation Related to the Movie! Luffy vs. Largo - The Battle Is On!,Filler,2009-12-06
430,A Warlord in Prison! Jimbei the First Son of the Sea!,Manga Canon,2009-12-13
431,Chief Jailer Saldeath's Trap! Level 3 - Starvation Hell!,Manga Canon,2009-12-20
432,The Unleashed Swan! A Reunion With Bon Clay!,Manga Canon,2009-12-27
433,Warden Magellan's Strategy! Straw Hat Entrapment Completed!,Manga Canon,2010-01-10
434, All Forces Have Gathered! The Battle on Level 4 - The Burning Heat Hell!,Manga Canon,2010-01-17
435,Mighty Magellan! Bon Clay Bugs Out!,Manga Canon,2010-01-24
436,The Showdown Has Come! Luffy's Desperate Last Attack!,Manga Canon,2010-01-31
437,For His Friend! Bon Clay Goes to the Deadly Rescue!,Manga Canon,2010-02-07
438,A Paradise in Hell! Impel Down - Level 5.5!,Manga Canon,2010-02-14
439,Luffy's Treatment Begins! Iva's Miraculous Power!,Manga Canon,2010-02-21
440,Believe in Miracles! Bon Clay's Cries From the Heart!,Manga Canon,2010-02-28
441,Luffy Back in Action! Iva Begins the Breakout Plan!!,Manga Canon,2010-03-07
442,Ace's Convoy Begins! Battle on the Lowest Floor - Level 6!,Manga Canon,2010-03-14
443,The Ultimate Team Has Formed! Shaking Impel Down!,Manga Canon,2010-03-21
444,Even More Chaos! Here Comes Blackbeard Teach!,Manga Canon,2010-03-28
445,The Dangerous Encounter! Blackbeard and Shiryu of the Rain!,Manga Canon,2010-04-04
446,Refusal to Be Defeated! Serious Hannyabal,Manga Canon,2010-04-11
447,Jet Pistol of Anger! Luffy vs. Blackbeard!,Manga Canon,2010-04-18
448,Stop Magellan! Iva's Esoteric Technique Explodes!,Manga Canon,2010-04-25
449,Magellan's Tricky Move! A Foiled Escaped Plan!,Manga Canon,2010-05-02
450,The Escapee Team in Trouble! The Forbidden Move: Venom Demon!,Manga Canon,2010-05-09
451,"Come, Final Miracle! Break Through the Gate of Justice!",Manga Canon,2010-05-16
452,To the Navy Headquarters! Off to Rescue Ace!,Manga Canon,2010-05-23
453,The Friends' Whereabouts! The Weatheria Report and the Cyborg Animals!,Anime Canon,2010-05-30
454,The Friends' Whereabouts! A Cheeper of Giant Birds and a Pink Showdown!,Anime Canon,2010-06-06
455, The Friends' Whereabouts! Revolutionaries and the Gorging Forest's Trap!,Anime Canon,2010-06-13
456,The Friends' Whereabouts! A Huge Tomb and the Panty Debt!,Anime Canon,2010-06-20
457,A Special Retrospective Before Marineford! The Vow of the Brotherhood!,Filler,2010-06-27
458,A Special Retrospective Before Marineford! The Three Navy Admirals Come Together!,Filler,2010-07-11
459,Ticking Down to the Time of Battle! The Navy's Strongest Lineup in Position!,Manga Canon,2010-07-18
460,A Vast Fleet Appears! Here Come the Whitebeard Pirates!,Manga Canon,2010-08-01
461,The Beginning of the War! Ace and Whitebeard's Past!,Manga Canon,2010-08-08
462,The Force That Could Destroy the World! The Power of the Tremor-Tremor Fruit!,Manga Canon,2010-08-15
463, An All-Consuming Inferno!! Admiral Akainu's Power!,Manga Canon,2010-08-22
464, A Descendant of the Beast! Little Oars Jr. - Full Speed Ahead!,Manga Canon,2010-08-29
465,Justice for the Winners! Sengoku's Strategy in Action!,Manga Canon,2010-09-05
466,Straw Hat Team Arrives! Tension Grows at the Battlefield,Manga Canon,2010-09-12
467,"Even If It Means Death! Luffy vs. the Navy, the Battle Starts!",Manga Canon,2010-09-19
468,"Hard Battles, One After Another! Devil Fruit Users vs. Devil Fruit Users!",Manga Canon,2010-09-26
469,Kuma's Transformation! Iva's Blow of Anger!,Manga Canon,2010-10-03
470, The Great Swordsman Mihawk! Luffy Comes Under the Attack of the Black Sword!,Manga Canon,2010-10-10
471,The Extermination Strategy in Action! The Power of the Pacifistas!,Manga Canon,2010-10-17
472,Akainu's Plot! Whitebeard Entrapped!,Manga Canon,2010-10-24
473,The Encircling Walls Activated! The Whitebeard Pirates Backed Into a Corner!,Manga Canon,2010-10-31
474,Execution Order Issued! Break Through the Encircling Walls!,Manga Canon,2010-11-07
475,Moving Into the Final Phase! Whitebeard's Trump Card for Recovery!,Manga Canon,2010-11-14
476,Luffy at the End of His Tether! An All-Out Battle at the Oris Plaza!,Manga Canon,2010-11-21
477,"The Power That Will Shorten One's Life! Energy Hormone, Redux!",Manga Canon,2010-11-28
478,To Live up to a Promise! Luffy and Coby Collide!,Manga Canon,2010-12-05
479,The Scaffold at Last! The Way to Ace Has Opened!,Manga Canon,2010-12-12
480, Each on Different Paths! Luffy vs. Garp!,Manga Canon,2010-12-19
481,Ace Rescued! Whitebeard's Final Order!,Manga Canon,2010-12-26
482,The Power That Can Burn Even Fire! Akainu's Ruthless Pursuit!,Manga Canon,2011-01-09
483,Looking for the Answer! Fire Fist Ace Dies on the Battlefield!,Manga Canon,2011-01-16
484,The Navy Headquarters Falls! Whitebeard's Unspeakable Wrath!,Manga Canon,2011-01-23
485,Ending the Matter! Whitebeard vs. the Blackbeard Pirates!,Manga Canon,2011-01-30
486,The Show Begins! Blackbeard's Plot Is Revealed!,Manga Canon,2011-02-06
487,The Insatiable Akainu! Lava Fists Pummel Luffy!,Manga Canon,2011-02-13
488,The Desperate Scream! Courageous Moments That Will Change the Future,Manga Canon,2011-02-20
489,Here Comes Shanks! The War of the Best Is Finally Over!,Mixed Canon/Filler,2011-03-06
490,"Mighty Leaders Face Each Other Down! Heralding the ""New Era!""",Manga Canon,2011-03-20
491,Landing at the Maiden Island! The Harsh Reality Falls Upon Luffy!,Manga Canon,2011-03-27
492,The Strongest Tag-Team! Luffy and Toriko's Hard Struggle!,Filler,2011-04-03
493,Luffy and Ace! The Story of How the Brothers Met!,Manga Canon,2011-04-10
494,Here Comes Sabo! The Boy at the Gray Terminal!,Manga Canon,2011-04-17
495,I Won't Run! Ace's Desperate Rescue Operation!,Manga Canon,2011-04-24
496,To the Sea Someday! The Pledge of the Three Brats!,Manga Canon,2011-05-01
497,Leaving the Dadan Family for Good? The Kids' Hideout Has Been Built!,Anime Canon,2011-05-08
498,Luffy Becoming an Apprentice?! A Man Who Fought Against the King of the Pirates!,Anime Canon,2011-05-15
499,The Battle Against the Big Tiger! Who Is Going to Be Captain?!,Anime Canon,2011-05-22
500,Freedom Taken Away! The Nobles' Plot Closing in on the Brothers!,Manga Canon,2011-05-29
501,The Fire Has Been Set! The Gray Terminal in Crisis!,Manga Canon,2011-06-05
502,Where Can Freedom Be Found? A Sad Departure of a Boy!,Manga Canon,2011-06-12
503,Take Good Care of Him! A Letter From the Brother!,Manga Canon,2011-06-19
504,To Live up to the Promise! Departures of Their Own!,Manga Canon,2011-06-26
505,I Want to See Them! Luffy's Mournful Cry!,Manga Canon,2011-07-03
506,Straw Hats in Shock! The Bad News Has Reached Them!,Anime Canon,2011-07-10
507, Reunited With Dark King Rayleigh! Decision Time for Luffy!,Manga Canon,2011-07-17
508, Back to Our Captain! A Jail Break at the Sky Island and the Incident on the Winter Island!,Manga Canon,2011-07-31
509,Encounter! The Great Swordsman Mihawk! Zoro's Self-Willed Deadly Struggle!,Manga Canon,2011-08-07
510,A Disaster for Sanji! The Queen's Return to the Kingdom!,Manga Canon,2011-08-14
511,"Unexpected Relanding! Luffy, to Marineford!",Manga Canon,2011-08-21
512,With Hopes It Will Reach My Friends! Big News Spreading Fast!,Manga Canon,2011-08-28
513,Pirates Get On the Move! Astounding New World!,Manga Canon,2011-09-04
514, Living Through Hell! Sanji's Fight for His Manhood!,Manga Canon,2011-09-11
515,"I Will Get Much, Much Stronger! Zoro's Pledge to His Captain!",Manga Canon,2011-09-18
516, Luffy's Training Begins! To the Place We Promised in 2 Years!,Manga Canon,2011-09-25
517,The Beginning of the New Chapter! The Straw Hats Reunited!,Manga Canon,2011-10-02
518,An Explosive Situation! Luffy vs. Fake Luffy!,Manga Canon,2011-10-09
519,The Navy Has Set Out! The Straw Hats in Danger!,Manga Canon,2011-10-16
520,Big Guns Assembled! The Danger of the Fake Straw Hats!,Mixed Canon/Filler,2011-10-23
521,The Battle Is On! Show Them What You Got From Training!,Manga Canon,2011-10-30
522,"Everyone Together! Luffy, Setting Out for the New World!",Manga Canon,2011-11-06
523,A Surprising Fact! The Man Who Guarded the Sunny!,Manga Canon,2011-11-13
524,Deadly Combat Under the Sea! The Demon of the Ocean Strikes!,Manga Canon,2011-11-20
525,Lost in the Deep Sea! The Straw Hats Get Separated!,Manga Canon,2011-11-27
526,Undersea Volcanic Eruption! Drifting to the Fish-Man Island!,Manga Canon,2011-12-04
527,Landing at the Fish-Man Island! Beautiful Mermaids!,Manga Canon,2011-12-11
528,Excitement Blow-Out! Sanji's Life Under Threat!,Manga Canon,2011-12-18
529,The Fish-Man Island Will Be Annihilated?! Sharley's Prophecy!,Manga Canon,2011-12-25
530,"The King of the Fish-Man Island! Neptune, the God of the Sea!",Manga Canon,2012-01-08
531,Ryugu Palace! Taken by the Shark That They Saved!,Manga Canon,2012-01-15
532,A Coward and a Crybaby! The Princess in the Hard Shell Tower!,Manga Canon,2012-01-22
533,It's an Emergency! The Ryugu Palace Is Occupied!,Manga Canon,2012-01-29
534,The Ryugu Palace in Shock! The Kidnapping of Shirahoshi!,Manga Canon,2012-02-05
535,Hordy's Onslaught! The Retaliatory Plan Set Into Motion!,Manga Canon,2012-02-12
536,The Battle in the Ryugu Palace! Zoro vs. Hordy!,Manga Canon,2012-02-19
537,Keep Shirahoshi Safe! Decken Close Behind!,Manga Canon,2012-02-26
538,The Straw Hats Defeated?! Hordy Gains Control of the Ryugu Palace!,Manga Canon,2012-03-04
539,The Haunting Ties! Nami and the Fish-Man Pirates!,Manga Canon,2012-03-18
540, A Hero Who Freed the Slaves! An Adventurer Tiger!,Manga Canon,2012-03-25
541,Kizaru Appears! A Trap to Catch Tiger!,Manga Canon,2012-04-01
542,A Team Is Formed! Save Chopper,Filler,2012-04-08
543,The Death of the Hero! A Shocking Truth of Tiger!,Manga Canon,2012-04-15
544, The Sun Pirates Split! Jimbei vs. Arlong!,Manga Canon,2012-04-22
545, Shaking Fish-Man Island! A Celestial Dragon Drifts In!,Manga Canon,2012-04-29
546,A Sudden Tragedy! A Gunshot Shuts Down the Future!,Manga Canon,2012-05-06
547, Back to the Present! Hordy Makes a Move!,Manga Canon,2012-05-13
548,The Kingdom in Shock! An Order to Execute Neptune Issued!,Manga Canon,2012-05-20
549, A Rift Opens Up! Luffy vs. Jimbei!,Manga Canon,2012-05-27
550, Something Has Happened to Hordy! The True Power of the Evil Drug!,Manga Canon,2012-06-03
551,The Battle Is On! At Conchcorde Plaza!,Manga Canon,2012-06-10
552,Surprising Confession! The Truth Behind the Assassination of Otohime!,Manga Canon,2012-06-17
553,Shirahoshi's Tears! Luffy Finally Shows Up!,Manga Canon,2012-06-24
554,"A Great Clash! The Straw Hat Crew vs. 100,000 Enemies",Manga Canon,2012-07-01
555,Deadly Attacks One After Another! Zoro and Sanji Join the Battle!,Manga Canon,2012-07-08
556,Unveiled! The Secret Weapons of the Sunny!,Manga Canon,2012-07-15
557, Iron Pirate! Here Comes General Franky!,Manga Canon,2012-07-29
558,The Noah Closing In! The Fish-Man Island Facing Destruction!,Manga Canon,2012-08-05
559,"Hurry Up, Luffy! Shirahoshi's Life in Jeopardy!",Manga Canon,2012-08-12
560, The Fierce Fight Begins! Luffy vs. Hordy!,Manga Canon,2012-08-19
561,A Massive Confused Fight! The Straw Hats vs. the New Fish-Man Pirates!,Manga Canon,2012-08-26
562,Luffy Loses the Fight?! Hordy's Long Awaited Revenge!,Manga Canon,2012-09-02
563,A Shocking Fact! The True Identity of Hordy!,Manga Canon,2012-09-09
564,Back to Zero! Earnest Wishes for Luffy!,Manga Canon,2012-09-16
565,Luffy's All-Out Attack! Red Hawk Blasts!,Manga Canon,2012-09-23
566,Coming to an End! The Final Decisive Battle Against Hordy!,Manga Canon,2012-09-30
567,"Stop, Noah! Desperate Elephant Gatling!",Manga Canon,2012-10-07
568,To the Future! The Path to the Sun!,Manga Canon,2012-10-14
569,The Secret Revealed! The Truth About the Ancient Weapon!,Manga Canon,2012-10-21
570,The Straw Hats Stunned! The New Fleet Admiral of the Navy!,Manga Canon,2012-10-28
571,She Loves Sweets! Big Mom of the Four Emperors!,Manga Canon,2012-11-04
572,Many Problems Lie Ahead! A Trap Awaiting in the New World!,Manga Canon,2012-11-11
573,"Finally Time to Go! Goodbye, Fish-Man Island!",Manga Canon,2012-11-18
574,To the New World! Heading for the Ultimate Sea!,Mixed Canon/Filler,2012-11-25
575,Z's Ambition! Lily the Little Giant!,Filler,2012-12-02
576,Z's Ambition! A Dark and Powerful Army!,Filler,2012-12-09
577,Z's Ambition! A Great and Desperate Escape Plan!,Filler,2012-12-16
578,Z's Ambition! Luffy vs. Shuzo!,Filler,2012-12-23
579,Arriving! A Burning Island - Punk Hazard!,Manga Canon,2013-01-06
580,A Battle in the Heat! Luffy vs. the Giant Dragon!,Manga Canon,2013-01-13
581,The Straw Hats Stunned! Enter: A Samurai's Horrifying Severed Head!,Manga Canon,2013-01-20
582,Startling! The Secret of the Island Is Finally Revealed!,Manga Canon,2013-01-27
583,Save the Children! The Straw Hats Start to Fight!,Manga Canon,2013-02-03
584,A Swordplay Showdown! Brook vs. the Mysterious Torso Samurai!,Manga Canon,2013-02-10
585,The Warlord! Trafalgar Law!,Manga Canon,2013-02-17
586,In a Real Pinch! Luffy Sinks Into the Ice-Cold Lake!,Manga Canon,2013-03-03
587,A Collision! Law vs. Vice Admiral Smoker!,Manga Canon,2013-03-17
588,Meeting Again After Two Years! Luffy and Law!,Manga Canon,2013-03-24
589,The Worst in the World! A Scientist of Terror - Caesar!,Manga Canon,2013-03-31
590,History's Strongest Collaboration vs. Glutton of the Sea,Filler,2013-04-07
591,Chopper's Fury! The Master's Inhumane Experiment!,Manga Canon,2013-04-14
592,To Annihilate the Straw Hats! Legendary Assassins Descend!,Manga Canon,2013-04-21
593,Save Nami! Luffy's Fight on the Snow-Capped Mountains!,Manga Canon,2013-04-28
594,Formed! Luffy and Law's Pirate Alliance!,Manga Canon,2013-05-05
595,Capture M! The Pirate Alliance's Operation Launches!,Manga Canon,2013-05-12
596,On the Verge of Annihilation! A Deadly Monster Comes Flying In!,Manga Canon,2013-05-19
597,An Intense Battle! Caesar Exercises His True Power!,Manga Canon,2013-05-26
598,A Samurai Who Can Cut Fire! Foxfire Kin'emon!,Manga Canon,2013-06-02
599,Shocking! The True Identity of the Mystery Man Vergo!,Manga Canon,2013-06-09
600,Save the Children! The Master's Evil Hands Close In!,Manga Canon,2013-06-16
601,Shaking up the New World! Caesar's Horrendous Experiment!,Manga Canon,2013-06-23
602,The Deadliest Weapon of Mass Destruction in History! Shinokuni!,Manga Canon,2013-06-30
603,Launching the Counter Attack! Luffy and Law's Great Escape!,Manga Canon,2013-07-07
604,Get to Building R! The Pirate Alliance's Great Advance!,Manga Canon,2013-07-14
605,Tashigi's Tears! G-5's Desperate Breakthrough Plan!,Manga Canon,2013-07-21
606,The Treacherous Vice Admiral! Demon Bamboo Vergo!,Manga Canon,2013-07-28
607,A Fierce Battle Gets Heated! Luffy vs. Caesar!,Manga Canon,2013-08-11
608,A Mastermind Underground! Doflamingo Makes His Move!,Manga Canon,2013-08-18
609,Luffy Dies From Exposure?! The Spine-Chilling Snow Woman Monet!,Manga Canon,2013-08-25
610,Fists Collide! A Battle of the Two Vice Admirals!,Manga Canon,2013-09-01
611,A Small Dragon! Momonosuke Appears!,Manga Canon,2013-09-08
612,A Deadly Fight in a Blizzard! The Straw Hats vs. the Snow Woman!,Manga Canon,2013-09-15
613,Showing Off His Techniques! Zoro's Formidable One-Sword Style!,Manga Canon,2013-09-22
614,To Save Her Friends! Mocha Runs at the Risk of Her Life!,Manga Canon,2013-09-29
615,Brownbeard in Grief! Luffy Lands a Furious Blow!,Manga Canon,2013-10-06
616,A Surprising Outcome! Smoker vs. Vergo!,Manga Canon,2013-10-13
617,Caesar's Defeat! The Powerful Grizzly Magnum!,Manga Canon,2013-10-20
618,Raid! An Assassin From Dressrosa!,Manga Canon,2013-10-27
619,Running Wild! Invincible General Franky!,Manga Canon,2013-11-03
620,A Critical Situation! Punk Hazard Explodes!,Manga Canon,2013-11-10
621,Capture Caesar! General Cannon Blasts!,Manga Canon,2013-11-17
622,A Touching Reunion! Momonosuke and Kin'emon!,Manga Canon,2013-11-24
623,It's Time to Say Goodbye! Leaving Punk Hazard!,Manga Canon,2013-12-01
624,The G-5 Wiped Out! Doflamingo's Sudden Attack!,Manga Canon,2013-12-08
625,Intense! Aokiji vs. Doflamingo!,Mixed Canon/Filler,2013-12-15
626,Caesar Goes Missing! The Pirate Alliance Makes a Sortie!,Filler,2013-12-22
627,Luffy Dies at Sea!? The Pirate Alliance Comes Apart!,Filler,2014-01-05
628,A Major Turnaround! Luffy's Angry Iron Fist Strikes!,Mixed Canon/Filler,2014-01-12
629,Startling! The Big News Shakes up the New World!,Manga Canon,2014-01-19
630,Explore! A Kingdom of Love and Passion Dressrosa!,Manga Canon,2014-01-26
631,Full of Enthusiasm! The Corrida Colosseum,Manga Canon,2014-02-02
632,A Dangerous Love! The Dancer Girl - Violet!,Manga Canon,2014-02-09
633,"A Formidable, Unknown Warrior! Here Comes Lucy!",Mixed Canon/Filler,2014-02-16
634,A Pirate Noble! Cavendish!,Manga Canon,2014-02-23
635,The Fateful Reunion! Bellamy the Hyena!,Manga Canon,2014-03-02
636,A Super Rookie! Bartolomeo the Cannibal!,Manga Canon,2014-03-16
637,Big Names Duke It Out! The Heated Block B Battle!,Manga Canon,2014-03-23
638,A Deadly Blow! The Astonishing King Punch!,Manga Canon,2014-03-30
639,The Fighting Fish Strike! Across the Deadly Iron Bridge!,Manga Canon,2014-04-06
640,Explore! Fairies' Island - Green Bit!,Manga Canon,2014-04-13
641,The Unknown World! The Tontatta Kingdom!,Manga Canon,2014-04-20
642,The Stratagem of the Century! Doflamingo Makes His Move!,Manga Canon,2014-04-27
643,Shaking Heaven and Earth! Admiral Fujitora's Power!,Manga Canon,2014-05-04
644,A Blow of Anger! A Giant vs. Lucy!,Manga Canon,2014-05-11
645,Destruction Cannon Blasts! Lucy in Trouble!,Manga Canon,2014-05-18
646,The Legendary Pirate! Don Chinjao!,Manga Canon,2014-05-25
647,Light and Shadow! Darkness Behind Dressrosa!,Manga Canon,2014-06-01
648,Making a Sortie! The Legendary Hero Usoland!,Manga Canon,2014-06-08
649,The Fierce Battle Coming to the End! Lucy vs. Chinjao!,Manga Canon,2014-06-15
650,Luffy and the Gladiator of Fate - Rebecca!,Manga Canon,2014-06-22
651,Protect You to the End! Rebecca and the Toy Soldier!,Manga Canon,2014-06-29
652,The Last - and Bloodiest - Block! Block D Battle Begins!,Manga Canon,2014-07-06
653,A Decisive Battle! Giolla vs. the Straw Hats!,Mixed Canon/Filler,2014-07-13
